BDM,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Date,Categorie,Plot_id,TypeOfOpen,SoilTemp,Grass,Forb,Shrub,Bare,Litter,Moss,Plot_id_orig,Sample_date
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ForetConifere,010403,NA,11.8,0,2,0,3,0,2,010403,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ForetConifere,010404,NA,12.6,0,3,0,3,0,3,010404,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ForetConifere,010405,NA,11.6,0.1,2,0.1,2,4,3,010405,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ForetConifere,010406,NA,12.5,0,3,0,3,0,2,010406,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ForetFeuillus,010501,NA,14.4,1,2,1,3,3,0.1,010501,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,ForetMixe,010601,NA,12.3,1,1,2,2,5,2,010601,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,lisiere,010901,NA,14.6,2,5,0,1,0.1,1,010901,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,lisiere,010902,NA,11.4,4,2,0,2,0,2,010902,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,lisiere,010903,NA,14.3,2,2,0.1,3,3,0.1,010903,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,lisiere,010904,NA,10.1,1,3,3,3,2,1,010904,22.08.19
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,20190822,pierrier,011101,NA,13.7,2,3,2,2,0,2,011101,22.08.19
