BDM_id,BDM,Categorie,Plot_id
04,581134,Autre,040111
04,581134,Autre,040112
04,581134,Autre,040113
04,581134,ForetConifere,040401
04,581134,ForetMixe,040601
04,581134,Humide,040801
04,581134,lisiere,040901
04,581134,lisiere,040902
04,581134,marais,041001
04,581134,pierrier,041101
04,581134,PrairieSeche,041201
04,581134,PrairieSeche,041202
04,581134,transport,041301
04,581134,ZoneConstruite,041501
05,569134,Autre,050101
05,569134,Autre,050102
05,569134,Autre,050103
05,569134,Autre,050104
05,569134,Autre,050105
05,569134,Autre,050106
05,569134,Autre,050107
05,569134,ForetConifere,050401
05,569134,ForetConifere,050402
05,569134,ForetConifere,050403
05,569134,ForetConifere,050404
05,569134,ForetConifere,050405
05,569134,ForetConifere,050406
05,569134,ForetFeuillus,050501
05,569134,ForetMixe,050601
05,569134,ForetMixe,050602
05,569134,ForetMixe,050603
05,569134,ForetMixe,050604
05,569134,lisiere,050901
05,569134,lisiere,050902
05,569134,lisiere,050903
05,569134,transport,051301
05,569134,ZoneConstruite,051501
05,569134,ZoneConstruite,051502
06,557134,Autre,060101
06,557134,Autre,060102
06,557134,CulturePerm,060301
06,557134,CulturePerm,060302
06,557134,CulturePerm,060303
06,557134,ForetConifere,060401
06,557134,ForetConifere,060402
06,557134,ForetFeuillus,060501
06,557134,ForetFeuillus,060502
06,557134,ForetMixe,060601
06,557134,ForetMixe,060602
06,557134,ForetMixe,060603
06,557134,lisiere,060901
06,557134,transport,061301
06,557134,ZoneConstruite,061501
06,557134,ZoneConstruite,061502
07,575142,Autre,070101
07,575142,Autre,070102
07,575142,Autre,070103
07,575142,Autre,070104
07,575142,Autre,070105
07,575142,Autre,070106
07,575142,Autre,070107
07,575142,Autre,070108
07,575142,Autre,070109
07,575142,Autre,070110
07,575142,Autre,070111
07,575142,ForetConifere,070401
07,575142,ForetConifere,070402
07,575142,ForetConifere,070403
07,575142,ForetConifere,070404
07,575142,ForetConifere,070405
07,575142,ForetConifere,070406
07,575142,ForetConifere,070407
07,575142,ForetFeuillus,070501
07,575142,ForetMixe,070601
07,575142,lisiere,070901
07,575142,lisiere,070902
07,575142,transport,071301
07,575142,zalluviale,071401
07,575142,ZoneConstruite,071501
08,581150,Autre,080101
08,581150,Autre,080102
08,581150,Autre,080103
08,581150,Autre,080104
08,581150,Autre,080105
08,581150,Autre,080106
08,581150,Autre,080107
08,581150,Autre,080108
08,581150,Autre,080109
08,581150,Autre,080110
08,581150,Autre,080111
08,581150,Autre,080112
08,581150,Autre,080113
08,581150,Autre,080114
08,581150,ForetConifere,080401
08,581150,ForetConifere,080402
08,581150,ForetConifere,080403
08,581150,ForetMixe,080601
08,581150,Humide,080801
08,581150,lisiere,080901
08,581150,lisiere,080902
08,581150,marais,081001
08,581150,PrairieSeche,081201
08,581150,transport,081301
08,581150,ZoneConstruite,081501
09,563142,Autre,090101
09,563142,Autre,090102
09,563142,Autre,090103
09,563142,Autre,090104
09,563142,Autre,090105
09,563142,Autre,090106
09,563142,Autre,090107
09,563142,ForetConifere,090401
09,563142,ForetConifere,090402
09,563142,ForetConifere,090403
09,563142,ForetConifere,090404
09,563142,ForetConifere,090405
09,563142,ForetConifere,090406
09,563142,ForetConifere,090407
09,563142,ForetFeuillus,090501
09,563142,ForetFeuillus,090502
09,563142,ForetFeuillus,090503
09,563142,ForetMixe,090601
09,563142,ForetMixe,090602
09,563142,ForetMixe,090603
09,563142,ForetMixe,090604
09,563142,lisiere,090901
09,563142,lisiere,090902
09,563142,transport,091301
09,563142,ZoneConstruite,091501
10,557150,Autre,100101
10,557150,Autre,100102
10,557150,Autre,100103
10,557150,Autre,100104
10,557150,Autre,100105
10,557150,Autre,100106
10,557150,Autre,100107
10,557150,Autre,100108
10,557150,Autre,100109
10,557150,Autre,100110
10,557150,CulturePerm,100301
10,557150,ForetConifere,100401
10,557150,ForetFeuillus,100501
10,557150,ForetFeuillus,100502
10,557150,ForetMixe,100601
10,557150,ForetMixe,100602
10,557150,lisiere,100901
10,557150,lisiere,100902
10,557150,lisiere,100903
10,557150,PrairieSeche,101201
10,557150,PrairieSeche,101202
10,557150,transport,101301
10,557150,ZoneConstruite,101501
10,557150,ZoneConstruite,101502
10,557150,ZoneConstruite,101503
11,551158,Autre,110101
11,551158,Autre,110102
11,551158,Autre,110103
11,551158,Autre,110104
11,551158,Autre,110105
11,551158,Autre,110106
11,551158,Autre,110107
11,551158,CulturePerm,110301
11,551158,ForetConifere,110401
11,551158,ForetFeuillus,110501
11,551158,ForetMixe,110601
11,551158,lisiere,110901
11,551158,transport,111301
11,551158,zalluviale,111401
11,551158,ZoneConstruite,111501
12,545150,Autre,120101
12,545150,Autre,120102
12,545150,Autre,120103
12,545150,Autre,120104
12,545150,Autre,120105
12,545150,Autre,120106
12,545150,Autre,120107
12,545150,Autre,120108
12,545150,Autre,120109
12,545150,CulturePerm,120301
12,545150,CulturePerm,120302
12,545150,ForetConifere,120401
12,545150,ForetFeuillus,120501
12,545150,ForetMixe,120601
12,545150,Graviere,120701
12,545150,lisiere,120901
12,545150,PrairieSeche,121201
12,545150,transport,121301
12,545150,transport,121302
12,545150,ZoneConstruite,121501
12,545150,ZoneConstruite,121502
12,545150,ZoneConstruite,121503
12,545150,ZoneConstruite,121504
12,545150,ZoneConstruite,121505
13,539158,Autre,130101
13,539158,Autre,130102
13,539158,Autre,130103
13,539158,Autre,130104
13,539158,Autre,130105
13,539158,Autre,130106
13,539158,Autre,130107
13,539158,Autre,130108
13,539158,Autre,130109
13,539158,ForetConifere,130401
13,539158,ForetConifere,130402
13,539158,ForetConifere,130403
13,539158,ForetConifere,130404
13,539158,ForetFeuillus,130501
13,539158,ForetFeuillus,130502
13,539158,ForetFeuillus,130503
13,539158,ForetFeuillus,130504
13,539158,ForetFeuillus,130505
13,539158,ForetMixe,130601
13,539158,ForetMixe,130602
13,539158,ForetMixe,130603
13,539158,lisiere,130901
13,539158,lisiere,130902
13,539158,transport,131301
13,539158,ZoneConstruite,131501
14,545166,Autre,140101
14,545166,Autre,140102
14,545166,Autre,140103
14,545166,Autre,140104
14,545166,Autre,140105
14,545166,Autre,140106
14,545166,Autre,140107
14,545166,Autre,140108
14,545166,Autre,140109
14,545166,Autre,140110
14,545166,Autre,140111
14,545166,Autre,140112
14,545166,Autre,140113
14,545166,Autre,140114
14,545166,Autre,140115
14,545166,Autre,140116
14,545166,CulturePerm,140301
14,545166,ForetConifere,140401
14,545166,ForetFeuillus,140501
14,545166,ForetMixe,140601
14,545166,lisiere,140901
