CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECIESID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
17309;Temn;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);5;534006;152793;405;NA;NA;NA;NA;10;Tanja Schwander;Temn;;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17353;Temn;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);3;534006;152793;405;NA;NA;NA;NA;NA;Tanja Schwander;Temn;;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11770C;Temn;Temn_nyla;public;NA;oui;NA;NA;Lausanne;1;537705;153481;560;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16431;Temn;Temn_nyla;public;NA;non;NA;NA;Ollon;1;563053;127020;387;NA;1;NA;NA;NA;Anne Freitag;Temn;;2019;;;reine désailée;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5719;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;13;526316;168814;620;ForetMixe;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9991527;Temn_affi;Temn_affi;scientific;soil;NA;527158;270501;NA;9;527670.6949;158828.1397;503.7;ForetFeuillus;NA;1;NA;NA;Salata;Temnothorax;Temn_affi;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.1;3;1;5;0.1;1045;723;2858;67073;2468;-62;2530;1701;603;1883;365;97411;9650;6387;1354;26629;19924;25769;22768
341;Temn_affi;Temn_affi;public;NA;non;NA;NA;Ecublens (VD);5;532427;151947;406;ZoneConstruite;NA;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5663;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;10;526316;168814;620;ForetMixe;1;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5771;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Ferreyres;6;526316;168814;620;ForetMixe;1;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2019;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18956;Temn_affi;Temn_affi;public;NA;oui;NA;NA;Onnens (VD);9;542490;188381;476;Autre;1;NA;NA;NA;Sebastian Salata;Temn;Temn_affi;2020;oui;Temn_affi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
