CATALOGUENUMBER	SPECIESSUMMARY	SPIECIESID_GENETIC
6534	Tapi_erra	Tapi_erra
6594	Tapi_erra/nige_gr	Tapi_erra
6625B	Tapi_erra/nige_gr	Tapi_erra
6907	Tapi_erra/nige_gr	Tapi_erra
696	Tapi_erra	Tapi_erra
7034	Tapi_erra/nige_gr	Tapi_erra
7226C	Tapi_erra/nige_gr	Tapi_erra
7418	Tapi_erra	Tapi_erra
7459	Tapi_erra/nige_gr	Tapi_erra
7669B	Tapi_erra/nige_gr	Tapi_erra
7778	Tapi_erra/nige_gr	Tapi_erra
7977	Tapi_erra/nige_gr	Tapi_erra
8017	Tapi_erra/nige_gr	Tapi_erra
8074	Tapi_nige_gr	Tapi_mag
8161B	Tapi_erra/nige_gr	Tapi_erra
8339	Tapi_nige_gr	Tapi_dari
8473	Tapi_erra/nige_gr	Tapi_erra
8591	Tapi_erra/nige_gr	Tapi_erra
8613B	Tapi_subb	Tapi_subb
8667	Tapi_subb	Tapi_subb
8778B	Tapi_subb	Tapi_subb
8830	Tapi_subb	Tapi_subb
884	Tapi_erra/nige_gr	Tapi_erra
8957	Tapi_erra/nige_gr	Tapi_erra
8984	Tapi_subb	Tapi_subb
9147	Tapi_subb	Tapi_subb
9154	Tapi_erra	Tapi_erra
9288	Tapi_nige_gr	Tapi_mag
9378	Tapi_erra/nige_gr	Tapi_erra
9394	Tapi_erra/nige_gr	Tapi_erra
964	Tapi_subb	Tapi_subb
9663	Tapi_erra/nige_gr	Tapi_erra
9899	Tapi_erra	Tapi_erra
9933	Tapi_erra/nige_gr	Tapi_erra
9990919	Tapi_erra	Tapi_subb
9991094	Tapi_erra	Tapi_erra
9991099	Tapi_erra	Tapi_erra
9991105	Tapi_erra	Tapi_subb
9991349	Tapi_erra	Tapi_erra
9991528	Tapi_erra	Tapi_subb
9992323	Tapi_erra	Tapi_erra
