"CATALOGUENUMBER" "ID"
"14258" "Tetr_immi"
"14184B" "Tetr_immi"
"14156" "Tetr_immi"
"1407" "Tetr_immi"
"14056B" "Tetr_immi"
"13938" "Tetr_immi"
"13083" "Tetr_immi"
"13098" "Tetr_immi"
"11921" "Tetr_immi"
"11922B" "Tetr_immi"
"3967" "Tetr_immi"
"4" "Tetr_immi"
"9990967" "Tetr_impu"
"9991093" "Tetr_impu"
"9990505" "Tetr_impu"
"5049" "Tetr_impu"
"4698" "Tetr_impu"
"4583" "Tetr_impu"
"18921" "Tetr_impu"
"3531" "Tetr_impu"
"9992329" "Tetr_impu"
"18365" "Tetr_impu"
"18156" "Tetr_impu"
"17567" "Tetr_impu"
"17426" "Tetr_impu"
"17391" "Tetr_impu"
"16193" "Tetr_impu"
"16084" "Tetr_impu"
"1601" "Tetr_impu"
"13985" "Tetr_impu"
"10488" "Tetr_impu"
"10996" "Tetr_impu"
"9991368" "Tetr_impu"
"11092" "Tetr_impu"
"9990382" "Tetr_impu"
"12496" "Tetr_impu"
"12811" "Tetr_impu"
"1310" "Tetr_impu"
"13936" "Tetr_impu"
"14088" "Tetr_impu"
"14298" "Tetr_impu"
"15200" "Tetr_impu"
"15364" "Tetr_impu"
"16217" "Tetr_impu"
"16327" "Tetr_impu"
"16346" "Tetr_impu"
"16504" "Tetr_impu"
"17017" "Tetr_impu"
"17024" "Tetr_impu"
"17026" "Tetr_impu"
"17205" "Tetr_impu"
"17267" "Tetr_impu"
"17455" "Tetr_impu"
"18397" "Tetr_impu"
"20077" "Tetr_impu"
"20218B" "Tetr_impu"
"2042" "Tetr_impu"
"2342" "Tetr_impu"
"2377" "Tetr_impu"
"361" "Tetr_impu"
"4801" "Tetr_impu"
"5952" "Tetr_impu"
"7200" "Tetr_impu"
"7207" "Tetr_impu"
"7668" "Tetr_impu"
"7801" "Tetr_impu"
"8593" "Tetr_impu"
"9592" "Tetr_impu"
"9990007" "Tetr_impu"
"9990012" "Tetr_impu"
"9990030" "Tetr_impu"
"9990162" "Tetr_impu"
"9990187" "Tetr_impu"
"9990219" "Tetr_impu"
"9990263" "Tetr_impu"
"9990742" "Tetr_impu"
"9990788" "Tetr_impu"
"9990922" "Tetr_impu"
"9991312" "Tetr_impu"
"9991548" "Tetr_impu"
"9991697" "Tetr_impu"
"9991754" "Tetr_impu"
"9992729" "Tetr_impu"
